,title,price,region
117,🎀아이폰13미니 256 핑크 풀박스🎀 아이폰13미니 256기가,"770,000원",대전 서구 갈마2동
118,아이폰11 / 64G / 공기계 / 페이스아이디안됨 / iphone11,"280,000원",서울 강남구 논현동
119,아이폰11 / 64G / 공기계 / 페이스아이디안됨 / iphone11,"280,000원",서울 강남구 역삼동
120,"Cto라이트닝케이블,아이폰케이블c타입,아이폰충전기,애플케이블","14,000원",경기도 김포시 대곶면
121,아이폰 iPhone X 64GB SKT,"200,000원",경기도 고양시 일산동구 마두동
122,"아이폰8 스그 64gb (상태 매우 좋음, 기스 깨짐 없음) “앗 아이폰8 신발보다 싸다!!!??” (조던기준;)","145,000원",대구 달서구 호림동
123,아이폰10 64 골드 . 아이폰x64 골드,"210,000원",서울 노원구 상계2동
124,아이폰12 아이폰12프로 벨킨 울트라글라스 강화유리,"20,000원",충북 청주시 흥덕구 봉명2.송정동
125,아이폰 12프로 맥스 256기가/ iPhone 12Pro Max 256GB,101만원,서울 송파구 잠실6동
126,아이폰12 미니 256 기가 (iPhone12 mini 256G),"450,000원",충북 청주시 서원구 분평동
127,iPhone Xs (아이폰 10s) 512GB,"379,000원",경기도 하남시 신장동
128,아이폰11pro(아이폰11프로) 256GB 미드나잇그린,"500,000원",경기도 고양시 일산서구 주엽1동
129,iPhone 아이폰 12 프로 맥스 / 128GB / 퍼시픽블루 / 자급제,"800,000원",경남 창원시 진해구 도만동
130,노형동 아이폰13 아이폰14 미개봉,"850,000원",제주 제주시 이도2동
131,iPhone 아이폰 12 프로 맥스 / 128GB / 퍼시픽블루 / 자급제,"800,000원",경남 창원시 진해구 도만동
132,"아이폰 se2 화이트 박스, 아이폰 7 메트블랙 박스, 아이폰 13 mini 레드 박스 판매합니다.","10,000원",경기도 화성시 병점동
133,"아이폰X 팝니다(아이폰10, 미국직구,카메라무음)","215,000원",서울 강남구 대치1동
134,아이폰se2 128 미개봉 자급제 팝니다 iphone,"350,000원",서울 광진구 화양동
135,아이폰11(아이폰XR) 액정 보호필름,"4,000원",서울 동작구 사당동
136,iPhone 14 Pro 아이폰 14 프로 1tb 1테라 스페이스블랙 자급제 미개봉,220만원,경남 창원시 마산회원구 양덕2동
137,아이폰12 프로 256 그래파이트 A급 상태좋습니다. / apple iphone,"750,000원",대구 수성구 황금동
138,아이폰12미니 퍼플 풀박스 128기가 아이폰 12 mini,"470,000원",대전 중구 선화동
139,아이폰11프로 실버 256 정상해지폰 판매합니다(iphone11pro 256gb silver),"550,000원",광주 광산구 우산동
140,아이폰13프로맥스 512 아이폰13pro max 512,138만원,경기도 고양시 일산서구 대화동
141,아이폰11프로. iphone11pro 256g 판매 그린컬러,"550,000원",전남 목포시 옥암동
142,( 가격모두 내림 )아이폰12미니 / 아이폰13pro / 제트플립3,"350,000원",대구 북구 산격동
143,아이폰11pro 256 로즈골드 배터리100% 아이폰11프로,"530,000원",경기도 시흥시 은행동
144,iphone 아이폰 11프로 256기가 실버,"520,000원",광주 남구 주월2동
