,title,price,region
87,아이폰x / 아이폰xs 케이스,"2,000원",경기도 김포시 북변동
88,아이폰12프로맥스 가죽케이스 아이폰13 케이스,"30,000원",서울 동작구 대방동
89,"아이폰14, 아이폰14플러스 재고 문의 주세요 단가 좋습니다☺️","123,456원",경기도 광주시 경안동
90,아이폰x나 아이폰xs 128기가로구해봅니다,"250,000원",인천 부평구 부개1동
91,"아이폰 13프로맥스,아이폰 13프로 케이스 및 신한터치 판매","45,000원",서울 송파구 위례동
92,아이폰 12 pro max 그래파이트 128Gb (아이폰12프로맥스),"870,000원",경기도 안산시 단원구 백운동
93,아이폰 12프로맥스 512 / 아이폰 12 pro max 그래파이트,"850,000원",대구 수성구 중동
94,"아이폰7, 아이폰8, 아이폰se2 케이스","3,000원",대구 중구 남산4동
95,아이폰12미니 블루 128GB iphone12mini (박스O),"370,000원",서울 강남구 역삼동
96,아이폰14 . 아이폰14 프로 당일수령 가능,100만원,대구 중구 동성로2가
97,아이폰13프로 아이폰13PRO 128기가 무음카메라(홍콩판),123만원,서울 강남구 압구정동
98,아이폰 12 교환 128기가 화이트 아이폰 x 시리즈 128기가 이상 {실버}로만 원해요,1원,인천 부평구 산곡4동
99,아이폰11프로 64기가 실버/ 아이폰11pro/SKT정상해지,"400,000원",충북 청주시 흥덕구 복대1동
100,"아이폰14 프로맥스 iphone 14 pro max 128기가 자급제 새상품 : 블랙, 퍼플",175만원,서울 강남구 역삼동
101,아이폰12 미니 그린 iPhone 12 mini Green 128GB,"370,000원",제주 제주시 오라삼동
102,아이폰12 프로맥스 512G 블루 애플케어 (iPhone12 promax blue) 자급제 판매,"950,000원",인천 부평구 산곡2동
103,아이폰10(아이폰X) 256기가 판매,"315,000원",서울 광진구 구의동
104,[미개봉] 아이폰14프로 256 딥퍼플 새제품 아이폰14pro,162만원,경북 경산시 중산동
105,아이폰se1세대 아이폰se1 64GB,"130,000원",경기도 수원시 권선구 탑동
106,아이폰12mini(아이폰12미니),"470,000원",경북 구미시 상모사곡동
107,아이폰 14 일반 255 스타라이트 <-> 아이폰14플러스 256 (색상상관없음) 교환하실분계신가요?,"100,000원",서울 성북구 정릉동
108,아이폰14 현금완납 성지가격 ! 판매합니다 아이폰13 쓸바엔 14,"840,000원",서울 구로구 항동
109,아이폰12프로 128gb 아이폰12pro,"650,000원",제주 제주시 일도2동
110,아이폰14 현금완납 성지가격 ! 판매합니다 아이폰13 쓸바엔 14,"840,000원",서울 구로구 개봉동
111,아이폰 13 pro max 256gb 그래파이트 판매 ( 아이폰 13 프로맥스 ),125만원,인천 미추홀구 주안2동
112,"아이폰14프로,아이폰14프로맥스 판매합니다.","1,000원",대구 동구 신기동
113,아이폰12미니케이스 아이폰케이스,"3,000원",경기도 안양시 만안구 석수1동
114,"애플, 아이폰, 아이폰13 pro",125만원,경기도 김포시 양촌읍
115,아이폰12프로케이스 아이폰케이스,"3,000원",경기도 안양시 만안구 석수1동
116,아이폰13미니랑 교신할 아이폰12미니(화이트)분 구해요,1원,경기도 고양시 덕양구 행신3동
117,"아이폰11pro 스그 (아이폰11프로) 256기가, 파손x, 케이스 드려요","530,000원",충북 청주시 흥덕구 가경동
118,아이폰11 블랙 128GB ( iPhone 11 Black ),"350,000원",인천 미추홀구 숭의2동
119,"아이폰 14 , 아이폰 14 PRO , PRO MAX 재고보유중",10원,부산 부산진구 당감동
120,"아이폰 11 pro max , 아이폰 12 하드케이스 판매합니다.","5,000원",경기도 시흥시 정왕동
121,아이폰 13프로 골드 256 추가금드리고 아이폰 14프로 256하고 교환원합니다,,경기도 화성시 기산동
122,아이폰14pro 정품 맥세이프케이스 아이폰14프로 케이스,"50,000원",경남 창원시 성산구 상남동
123,아이폰14pro 정품 맥세이프 케이스 아이폰14프로 케이스,"50,000원",경남 창원시 의창구 북면
124,아이폰 13미니 핑크 128gb 아이폰 se2 교환,나눔🧡,제주 서귀포시 서홍동
125,"아이폰 13프로맥스 그래파이트, 아이폰13pro max",109만원,대구 남구 대명9동
126,"아이폰 13프로맥스 그래파이트, 아이폰13pro max",109만원,대구 남구 대명9동
127,"아이폰11프로실버,아이폰11pro실버,아이폰11프로256실버,아이폰11pro256실버","480,000원",대구 북구 읍내동
128,"프루타폰케이스,아이폰11프로폰케이스,아이폰11프로케이스,아이폰11pro폰케이스,아이폰11pro케이스","25,000원",대구 북구 읍내동
129,(미사용) 아이몰정품 아이폰X 금강불괴 액정필름(아이폰XS 호환) 액정보호필름,"9,000원",대전 서구 탄방동
130,아이폰XR+추가금->아이폰 12미니 교환 원합니다,"100,000원",서울 강남구 대치2동
131,아이폰 13프로 128g / iPHONE 13 pro 128g 팝니다.,"900,000원",전북 전주시 완산구 효자2동
132,아이패드 아이폰5 아이폰se2,"200,000원",경북 영천시 동부동
133,실버 ) 아이폰 12PRO / 아이폰 12프로 256GB,"730,000원",인천 연수구 송도동
134,아이폰 11 튤립 자수 아이폰 케이스 새상품,"3,000원",경기도 안산시 상록구 해양동
135,[iPhone] 아이폰 11 PRO 64GB 미드나잇그린,"340,000원",경기도 수원시 영통구 매탄1동
136,아이폰 se2 화이트 128기가 아이폰 xr64 이나 아이폰 xs 64로 교환 가능하신분. 판매도 합니다,"240,000원",경기도 평택시 고덕동
137,"[최저가] 애플 아이폰7플러스, 아이폰8플러스 젤리 케이스와 강화유리","1,500원",부산 사상구 덕포동
138,아이폰13스타라이트256기가 배터리99 풀박+추금으로 아이폰13프로맥스 시에라블루 사요,123만 4567원,경북 포항시 북구 죽도동
139,아이폰 13프로 아이폰13pro 시에라블루 256기가 풀박‼️,103만원,서울 도봉구 쌍문동
140,아이폰12미니.아이폰X ㅅㅅㅅ,2원,경기도 안산시 단원구 원곡동
141,아이폰12프로 256기가 iphone 12pro 실버,"680,000원",서울 강남구 청담동
142,풀박 아이폰 미니 화이트 12 64GB / iphone mini 12,"350,000원",대전 서구 갈마2동
143,아이폰11프로 iphone 11 pro 256gb 박스풀 ss급,"600,000원",부산 수영구 광안동
144,"아이폰 12 프로 , 애플케어플러스 iphone 12 pro","730,000원",경남 진주시 신안동
145,Apple iPhone 14 Pro 애플 아이폰14 프로 딥퍼블 256기가 싸게 팝니다 !,160만원,서울 마포구 도화동
146,[아이폰] 아이폰12미니 64화이트 저렴하게 팝니다.,"285,000원",경기도 남양주시 다산1동
147,아이폰13프로 안깨지는 필름 종이 촉감 매트 풀커버 필름 아이폰 필름,"6,000원",부산 남구 용호제4동
148,아이폰 x / 아이폰 xs 케이스 판매합니다,"1,000원",서울 관악구 대학동
149,iPhone 13 mini 512GB (PRODUCT)RED 아이폰 13 미니 512기가바이트 프로덕트레드,100만원,경기도 안산시 단원구 초지동
150,iPhone 13 mini 512GB (PRODUCT)RED 아이폰 13 미니 512기가바이트 프로덕트레드,100만원,경기도 안산시 단원구 초지동
151,아이폰10(리퍼폰) 아이폰 X 256G 블랙 A급 팔아요,"280,000원",서울 도봉구 쌍문동
152,"아이폰 13 -> 아이폰 14 pro , pro max 맥스 교환",9999만 9999원,인천 남동구 만수6동
153,아이폰xs 아이폰x 케이스,"6,000원",경남 김해시 장유2동
154,아이폰12pro max silver.아이폰12프로맥스 128G,"800,000원",대구 달서구 파호동
155,아이폰 12 pro(아이폰12프로) 퍼시픽블루 512gb 팝니다.,"850,000원",대구 서구 내당4동
156,아이폰13-> 아이폰13미니,나눔🧡,경기도 안성시 신소현동
157,아이폰12미니 128그린 쌈무그린 아이폰12mini,"409,000원",경남 창원시 성산구 상남동
